title,rouge1,rouge2,rougeL
"To strengthen the law enabling the United States to expeditiously remove terrorist criminals, to add flexibility with respect to the places to which aliens may be removed, to give sufficient authority to the Secretary of Homeland Security and the Attorney General to remove aliens who pose a danger to national security, and for other purposes.",0.4461538461538461,0.17829457364341086,0.1923076923076923
Teenage Pregnancy Reduction Act of 1996,0.208955223880597,0.010050251256281407,0.13930348258706468
Children's Bicycle Helmet Safety Act of 1993,0.4811715481171548,0.273109243697479,0.2719665271966527
A bill to extend and improve the effectiveness of the employment eligibility confirmation program.,0.4381338742393509,0.23625254582484725,0.28803245436105473
Stopping Abuse and Fraud in Electronic Lending Act of 2018,0.23343848580441642,0.06984126984126984,0.13880126182965302
To provide for the establishment of a commission to review and make recommendations to Congress on the reform and simplification of the Internal Revenue Code of 1986.,0.303030303030303,0.06091370558375635,0.1515151515151515
"A bill to amend the Foreign Assistance Act of 1961 to modify for fiscal years 2002 through 2004 the procedures relating to assistance for countries not cooperating in United States counterdrug efforts, and for other purposes.",0.40973630831643,0.15071283095723012,0.19472616632860038
"To authorize certain Department of Veterans Affairs major medical facility projects and leases, to extend certain expiring provisions of law, and to modify certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.30663615560640733,0.13990825688073394,0.15560640732265446
Sportsmen's Bill of Rights Act,0.5347368421052633,0.160676532769556,0.2526315789473684
"To authorize certain Department of Veterans Affairs major medical facility projects, to amend title 38, United States Code, to extend certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.34725274725274724,0.0706401766004415,0.18461538461538463
"To amend title 38, United States Code, to make permanent the authority for qualifying members of the Selected Reserve to have access to home loans guaranteed by the Secretary of Veterans Affairs and to provide for uniformity in fees charged qualifying members of the Selected Reserve and active duty veterans for such home loans.",0.09183673469387756,0.0,0.09183673469387756
"A bill to require the Secretary of the Treasury to mint and issue coins in commemoration of Native Americans and the important contributions made by Indian tribes and individual Native Americans to the development of the United States and the history of the United States, and for other purposes.",0.34560906515580736,0.22792022792022792,0.24929178470254953
SECURE Act,0.48393194706994325,0.174573055028463,0.21550094517958412
"To promote the development of affordable, quality rental housing in rural areas for low-income households.",0.12921348314606743,0.03954802259887005,0.0898876404494382
Telecommunications Economic Opportunity Act of 1995,0.43761996161228406,0.1001926782273603,0.22648752399232241
RCAF/RAF-Americans Congressional Gold Medal Act,0.4152542372881356,0.34188034188034183,0.38135593220338987
Appalachian Regional Commission Reform Act,0.31632653061224486,0.13310580204778155,0.18367346938775514
"To provide for the importation of drugs into the United States from Canada and Mexico, and for other purposes.",0.5225653206650831,0.22434367541766112,0.2992874109263658
Imperial Valley Desert Conservation and Recreation Act,0.45098039215686275,0.1973684210526316,0.2156862745098039
To amend the Internal Revenue Code of 1986 to encourage the granting of employee stock options.,0.25059101654846333,0.07125890736342042,0.14184397163120566
"To repeal tax subsidies enacted by the Energy Policy Act of 2005 for oil and gas and certain other oil and gas subsidies in the Internal Revenue Code of 1986, and to establish a greenhouse gas intensity reduction investment tax credit.",0.28923076923076924,0.09287925696594428,0.14153846153846153
"A bill to amend the Workforce Investment Act of 1998 to increase the hiring of firefighters, and for other purposes.",0.3095238095238096,0.104,0.1984126984126984
Competitiveness Tax Credit Act,0.23076923076923073,0.06976744186046512,0.14615384615384613
A bill to keep Americans working by strengthening and expanding short-time compensation programs that provide employers with an alternative to layoffs.,0.4806973848069738,0.29712858926342073,0.29887920298879206
Prescription Drug Fairness for Seniors Act of 1998,0.3791469194312796,0.14354066985645933,0.1990521327014218
Energy Freedom and Economic Prosperity Act,0.19672131147540986,0.01411764705882353,0.11709601873536299
Treatment of Children's Deformities Act of 1998,0.32323232323232326,0.11224489795918367,0.2121212121212121
Biennial Appropriations Act,0.38762886597938145,0.09523809523809525,0.18556701030927833
"To authorize and support psoriasis and psoriatic arthritis data collection, to express the sense of the Congress to encourage and leverage public and private investment in psoriasis research with a particular focus on interdisciplinary collaborative research on the relationship between psoriasis and its comorbid conditions, and for other purposes.",0.4664310954063605,0.21276595744680854,0.3003533568904594
National Commission for the New National Goal: The Advancement of Global Health Act,0.3902439024390244,0.1358024691358025,0.25609756097560976
Veterans Mobility Safety Act of 2016,0.37499999999999994,0.15755627009646303,0.1955128205128205
Older and Disabled Americans Criminal Protection Act of 1998,0.3217665615141956,0.14873417721518986,0.19558359621451105
"A bill to amend chapters 83 and 84 of title 5, United States Code, to extend the civil service retirement provisions of such chapter which are applicable to law enforcement officers.",0.25941422594142255,0.08438818565400844,0.1506276150627615
Assault Weapons Prohibition Act of 1993,0.6042553191489363,0.3948497854077253,0.2723404255319149
Women's Business Procurement Assistance Act of 1993,0.5252918287937743,0.2265625,0.245136186770428
Open Our Democracy Act of 2014,0.4543080939947781,0.1994750656167979,0.26109660574412535
Twenty-First Amendment Enforcement Act,0.427892234548336,0.2798092209856916,0.2028526148969889
To provide for the establishment of a Natural Gas Reserve.,0.3988439306358381,0.1511627906976744,0.21387283236994223
Technology for the Classroom Act of 1993,0.4727272727272727,0.17153284671532845,0.22545454545454546
Frontline Medical Education Act,0.3162393162393162,0.10344827586206896,0.17094017094017094
A bill to achieve cost savings through the reform of Federal acquisition practices and procedures.,0.46153846153846156,0.15748031496062992,0.19152276295133439
Biodiesel Energy Development Act of 1997,0.3922883487007544,0.14945424013434092,0.18943839061190273
"A bill to establish a national policy of basic consumer fair treatment for airline passengers, and for other purposes.",0.5718954248366014,0.3049180327868853,0.3431372549019608
Medicare Fraud Enforcement and Prevention Act of 2013,0.38589981447124305,0.1191806331471136,0.18923933209647498
To amend the Internal Revenue Code of 1986 to combine the Hope and Lifetime Learning credits and to provide a uniform definition of qualifying higher education expenses.,0.18518518518518517,0.0425531914893617,0.11111111111111112
Department of the Interior Reform and Savings Act of 1993,0.4722222222222222,0.24041811846689895,0.3055555555555556
Recruit and Reward Future Math and Science Teachers of America Act of 2000,0.4774535809018568,0.29333333333333333,0.3395225464190981
Irrigation Subsidy Reduction Act of 1996,0.48101265822784806,0.1466854724964739,0.18846694796061886
To amend title XVIII of the Social Security Act to provide for the public disclosure of prices for hospital and ambulatory surgical center procedures and drugs.,0.26277372262773724,0.08888888888888888,0.16058394160583941
"To amend title XVIII of the Social Security Act to ensure access to quality home health services for all Americans, and for other purposes.",0.3300970873786408,0.10423452768729642,0.1941747572815534
A bill to establish the Long Island Sound Stewardship System.,0.3277027027027027,0.1966101694915254,0.1858108108108108
"To improve certain compensation, health care, and education benefits for individuals who serve in a reserve component of the uniformed services, and for other purposes.",0.41958041958041953,0.08899297423887588,0.1864801864801865
To amend title XIX of the Social Security Act to permit Medicaid beneficiaries the choice of self-directed personal assistance services through a cash and counseling program under the Medicaid Program.,0.4636871508379888,0.3202247191011236,0.37988826815642457
"To establish the Manhattan Project National Historical Park in Oak Ridge, Tennessee, Los Alamos, New Mexico, and Hanford, Washington, and for other purposes.",0.5415318230852212,0.23351351351351352,0.2071197411003236
To provide assistance to address long-term food production and rural development needs in Afghanistan and the Central Asian Republics.,0.2921739130434783,0.12914485165794068,0.16695652173913042
Radio Broadcasting Preservation Act of 2000,0.48780487804878053,0.30734966592427615,0.23059866962305992
"A bill to amend title 10, United States Code, to enhance the readiness of the Armed Forces by replacing the current policy concerning homosexuality in the Armed Forces, referred to as ""Don't Ask, Don't Tell"", with a policy of nondiscrimination on the basis of sexual orientation.",0.24050632911392406,0.05095541401273885,0.13291139240506328
Putting Main Street FIRST Act,0.3368421052631579,0.026455026455026457,0.1473684210526316
A bill to amend the Internal Revenue Code of 1986 to modify the tax credit for holders of qualified zone academy bonds.,0.3319838056680162,0.13061224489795917,0.21862348178137653
"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to provide adequate benefits for public safety officers injured or killed in the line of duty, and for other purposes.",0.5227272727272728,0.34285714285714286,0.32954545454545453
Turkish Human Rights Act,0.3296213808463252,0.18344519015659952,0.267260579064588
"To amend the Public Health Service Act with respect to facilitating the development of microbicides for preventing transmission of HIV/AIDS and other diseases, and for other purposes.",0.5207877461706784,0.22417582417582418,0.2713347921225383
Environmental Finance Act of 1995,0.47560975609756106,0.22448979591836735,0.26016260162601623
"A bill to amend the Military Commissions Act of 2006 to improve and enhance due process and appellate procedures, and for other purposes.",0.2777777777777778,0.10801393728222998,0.14930555555555555
"A bill to amend the Communications Act of 1934 to prohibit the unlawful acquisition and use of confidential customer proprietary network information, and for other purposes.",0.38698010849909587,0.08711433756805807,0.16636528028933092
"A bill to amend title 38, United States Code, to modify the provision of compensation and pension to surviving spouses of veterans in the months of the deaths of the veterans, to improve housing loan benefits for veterans, and for other purposes.",0.5800711743772242,0.28571428571428575,0.30960854092526685
National Oceanic and Atmospheric Administration Atmospheric and Satellite Program Authorization Act of 1993,0.34529914529914535,0.14408233276157806,0.15384615384615385
To amend the Internal Revenue Code of 1986 to provide an exemption from income taxation for qualified State tuition programs.,0.06451612903225806,0.02702702702702703,0.05913978494623657
