title,rouge1,rouge2,rougeL
"To strengthen the law enabling the United States to expeditiously remove terrorist criminals, to add flexibility with respect to the places to which aliens may be removed, to give sufficient authority to the Secretary of Homeland Security and the Attorney General to remove aliens who pose a danger to national security, and for other purposes.",0.11214953271028039,0.07619047619047617,0.11214953271028039
Teenage Pregnancy Reduction Act of 1996,0.1276595744680851,0.06521739130434784,0.06382978723404255
Children's Bicycle Helmet Safety Act of 1993,0.10426540284360189,0.06698564593301434,0.0947867298578199
A bill to extend and improve the effectiveness of the employment eligibility confirmation program.,0.11504424778761063,0.08928571428571429,0.11504424778761063
Stopping Abuse and Fraud in Electronic Lending Act of 2018,0.27586206896551724,0.16470588235294117,0.2528735632183908
To provide for the establishment of a commission to review and make recommendations to Congress on the reform and simplification of the Internal Revenue Code of 1986.,0.19999999999999998,0.14492753623188406,0.15714285714285717
"A bill to amend the Foreign Assistance Act of 1961 to modify for fiscal years 2002 through 2004 the procedures relating to assistance for countries not cooperating in United States counterdrug efforts, and for other purposes.",0.37442922374429227,0.33179723502304154,0.37442922374429227
"To authorize certain Department of Veterans Affairs major medical facility projects and leases, to extend certain expiring provisions of law, and to modify certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.030942334739803092,0.022566995768688293,0.030942334739803092
Sportsmen's Bill of Rights Act,0.05263157894736842,0.007575757575757576,0.03759398496240602
"To authorize certain Department of Veterans Affairs major medical facility projects, to amend title 38, United States Code, to extend certain authorities of the Secretary of Veterans Affairs, and for other purposes.",0.06896551724137931,0.011627906976744186,0.05747126436781609
"To amend title 38, United States Code, to make permanent the authority for qualifying members of the Selected Reserve to have access to home loans guaranteed by the Secretary of Veterans Affairs and to provide for uniformity in fees charged qualifying members of the Selected Reserve and active duty veterans for such home loans.",0.19047619047619047,0.12195121951219512,0.19047619047619047
"A bill to require the Secretary of the Treasury to mint and issue coins in commemoration of Native Americans and the important contributions made by Indian tribes and individual Native Americans to the development of the United States and the history of the United States, and for other purposes.",0.16867469879518074,0.07407407407407408,0.16867469879518074
SECURE Act,0.07602339181286549,0.041176470588235294,0.07017543859649122
"To promote the development of affordable, quality rental housing in rural areas for low-income households.",0.33333333333333337,0.1923076923076923,0.2222222222222222
Telecommunications Economic Opportunity Act of 1995,0.048780487804878044,0.008196721311475409,0.048780487804878044
RCAF/RAF-Americans Congressional Gold Medal Act,0.2368421052631579,0.08108108108108107,0.1842105263157895
Appalachian Regional Commission Reform Act,0.29268292682926833,0.07407407407407407,0.1951219512195122
"To provide for the importation of drugs into the United States from Canada and Mexico, and for other purposes.",0.16999999999999998,0.09090909090909091,0.11000000000000001
Imperial Valley Desert Conservation and Recreation Act,0.06557377049180328,0.022099447513812154,0.06557377049180328
To amend the Internal Revenue Code of 1986 to encourage the granting of employee stock options.,0.17142857142857143,0.09708737864077671,0.15238095238095237
"To repeal tax subsidies enacted by the Energy Policy Act of 2005 for oil and gas and certain other oil and gas subsidies in the Internal Revenue Code of 1986, and to establish a greenhouse gas intensity reduction investment tax credit.",0.1111111111111111,0.07042253521126761,0.08333333333333334
"A bill to amend the Workforce Investment Act of 1998 to increase the hiring of firefighters, and for other purposes.",0.2962962962962963,0.22784810126582278,0.2469135802469136
Competitiveness Tax Credit Act,0.23728813559322035,0.14035087719298245,0.16949152542372883
A bill to keep Americans working by strengthening and expanding short-time compensation programs that provide employers with an alternative to layoffs.,0.08658008658008658,0.026200873362445417,0.07792207792207792
Prescription Drug Fairness for Seniors Act of 1998,0.11594202898550722,0.029850746268656716,0.11594202898550722
Energy Freedom and Economic Prosperity Act,0.10582010582010581,0.0641711229946524,0.08465608465608467
Treatment of Children's Deformities Act of 1998,0.2564102564102564,0.1842105263157895,0.20512820512820515
Biennial Appropriations Act,0.0782122905027933,0.011299435028248588,0.0782122905027933
"To authorize and support psoriasis and psoriatic arthritis data collection, to express the sense of the Congress to encourage and leverage public and private investment in psoriasis research with a particular focus on interdisciplinary collaborative research on the relationship between psoriasis and its comorbid conditions, and for other purposes.",0.1794871794871795,0.04310344827586207,0.1282051282051282
National Commission for the New National Goal: The Advancement of Global Health Act,0.11764705882352941,0.048192771084337345,0.11764705882352941
Veterans Mobility Safety Act of 2016,0.03411513859275053,0.008565310492505354,0.03411513859275053
Older and Disabled Americans Criminal Protection Act of 1998,0.08510638297872342,0.0,0.07092198581560284
"A bill to amend chapters 83 and 84 of title 5, United States Code, to extend the civil service retirement provisions of such chapter which are applicable to law enforcement officers.",0.18867924528301885,0.0784313725490196,0.1509433962264151
Assault Weapons Prohibition Act of 1993,0.08547008547008547,0.034782608695652174,0.08547008547008547
Women's Business Procurement Assistance Act of 1993,0.10576923076923077,0.07766990291262137,0.07692307692307691
Open Our Democracy Act of 2014,0.05714285714285714,0.023121387283236993,0.05714285714285714
Twenty-First Amendment Enforcement Act,0.01663201663201663,0.004175365344467641,0.01663201663201663
To provide for the establishment of a Natural Gas Reserve.,0.1103448275862069,0.06993006993006992,0.09655172413793103
Technology for the Classroom Act of 1993,0.06081081081081081,0.006802721088435373,0.033783783783783786
Frontline Medical Education Act,0.10526315789473685,0.02702702702702703,0.10526315789473685
A bill to achieve cost savings through the reform of Federal acquisition practices and procedures.,0.0625,0.04195804195804196,0.05555555555555555
Biodiesel Energy Development Act of 1997,0.029197080291970802,0.014641288433382136,0.02335766423357664
"A bill to establish a national policy of basic consumer fair treatment for airline passengers, and for other purposes.",0.06532663316582915,0.030303030303030304,0.055276381909547735
Medicare Fraud Enforcement and Prevention Act of 2013,0.06514657980456026,0.04590163934426229,0.05211726384364821
To amend the Internal Revenue Code of 1986 to combine the Hope and Lifetime Learning credits and to provide a uniform definition of qualifying higher education expenses.,0.2696629213483146,0.18390804597701146,0.17977528089887643
Department of the Interior Reform and Savings Act of 1993,0.0440251572327044,0.03164556962025316,0.0440251572327044
Recruit and Reward Future Math and Science Teachers of America Act of 2000,0.05128205128205128,0.0,0.03663003663003663
Irrigation Subsidy Reduction Act of 1996,0.040268456375838924,0.0,0.03355704697986577
To amend title XVIII of the Social Security Act to provide for the public disclosure of prices for hospital and ambulatory surgical center procedures and drugs.,0.5757575757575757,0.3125,0.4848484848484849
"To amend title XVIII of the Social Security Act to ensure access to quality home health services for all Americans, and for other purposes.",0.041237113402061855,0.0,0.041237113402061855
A bill to establish the Long Island Sound Stewardship System.,0.16666666666666666,0.12307692307692307,0.15151515151515152
